antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'pastry'}),frozenset({'whole milk'}),0.0517275947336764,0.15792287642852368,0.006482657221145492,0.12532299741602068,0.7935708888429613,-0.001686313329925639,0.9627292372885121,-0.21526566181115744
frozenset({'salty snack'}),frozenset({'whole milk'}),0.018779656485998796,0.15792287642852368,0.0019381140145692708,0.10320284697508897,0.6535015655049752,-0.00102762335603924,0.9389828242999398,-0.35080368496647113
frozenset({'salty snack'}),frozenset({'rolls/buns'}),0.018779656485998796,0.11000467820624206,0.0019381140145692708,0.10320284697508897,0.938167800296632,-0.0001277360539967932,0.9924154183493888,-0.06294112598128855
frozenset({'salty snack'}),frozenset({'other vegetables'}),0.018779656485998796,0.12210118291786407,0.002205440085544343,0.11743772241992884,0.96180659034997,-8.757818618724839e-05,0.9947159983874201,-0.03889596400814089
frozenset({'yogurt'}),frozenset({'whole milk'}),0.08587850030074183,0.15792287642852368,0.011160863463209249,0.1299610894941634,0.8229402378760758,-0.002401316327651736,0.9678614524054983,-0.190524689389268
"frozenset({'other vegetables', 'yogurt'})",frozenset({'whole milk'}),0.008086613646995923,0.15792287642852368,0.0011361358016440553,0.14049586776859505,0.8896486116891612,-0.00014092548605569512,0.9797243456937369,-0.1111510360522218
"frozenset({'whole milk', 'yogurt'})",frozenset({'other vegetables'}),0.011160863463209249,0.12210118291786407,0.0011361358016440553,0.10179640718562874,0.8337053315372539,-0.00022661882959856307,0.9773940163514446,-0.1678565520891918
"frozenset({'rolls/buns', 'yogurt'})",frozenset({'whole milk'}),0.007819287576020852,0.15792287642852368,0.0013366303548753592,0.17094017094017094,1.0824281751069733,0.00010178596924832772,1.0157012727614716,0.07675131348511383
"frozenset({'whole milk', 'yogurt'})",frozenset({'rolls/buns'}),0.011160863463209249,0.11000467820624206,0.0013366303548753592,0.11976047904191618,1.0886853267947703,0.0001088831611012215,1.0110831206772626,0.08238037307380382
frozenset({'sausage'}),frozenset({'whole milk'}),0.06034886052262247,0.15792287642852368,0.008955423377664907,0.14839424141749724,0.9396627314134623,-0.0005750422652514124,0.9888109786541524,-0.06396454269627133
"frozenset({'sausage', 'yogurt'})",frozenset({'whole milk'}),0.005747510525964045,0.15792287642852368,0.0014702933903628951,0.2558139534883721,1.6198663504217148,0.0005626299957994361,1.1315411347991713,0.38487720520388397
"frozenset({'sausage', 'whole milk'})",frozenset({'yogurt'}),0.008955423377664907,0.08587850030074183,0.0014702933903628951,0.16417910447761194,1.9117602648237413,0.000701215061130829,1.0936810799973267,0.48123149357217726
"frozenset({'whole milk', 'yogurt'})",frozenset({'sausage'}),0.011160863463209249,0.06034886052262247,0.0014702933903628951,0.1317365269461078,2.1829165589087607,0.0007967479979096469,1.082218898570497,0.5480135908968025
"frozenset({'rolls/buns', 'sausage'})",frozenset({'whole milk'}),0.005346521419501437,0.15792287642852368,0.0011361358016440553,0.2125,1.345593525179856,0.0002917977601896749,1.0693042839002875,0.25821406974400324
"frozenset({'sausage', 'whole milk'})",frozenset({'rolls/buns'}),0.008955423377664907,0.11000467820624206,0.0011361358016440553,0.12686567164179105,1.1532752398396837,0.0001509973347833698,1.0193108813706289,0.1341052706739179
"frozenset({'sausage', 'soda'})",frozenset({'whole milk'}),0.005948005079195348,0.15792287642852368,0.0010693042839002875,0.17977528089887643,1.138373901011379,0.0001299782127822893,1.0266419725734437,0.12228132983730017
"frozenset({'sausage', 'whole milk'})",frozenset({'soda'}),0.008955423377664907,0.09710619528169484,0.0010693042839002875,0.11940298507462688,1.2296124333596987,0.00019967719255850386,1.0253200833241771,0.18842302245599854
frozenset({'semi-finished bread'}),frozenset({'whole milk'}),0.009490075519615051,0.15792287642852368,0.001670787943594199,0.176056338028169,1.1148247930239072,0.0001720879200126737,1.0220081328816208,0.10398488630996562
frozenset({'semi-finished bread'}),frozenset({'other vegetables'}),0.009490075519615051,0.12210118291786407,0.0010024727661565194,0.1056338028169014,0.8651333287078794,-0.00015627668076834177,0.9815876537453803,-0.13598311724652554
