support,itemsets
0.15792287642852368,frozenset({'whole milk'})
0.0517275947336764,frozenset({'pastry'})
0.018779656485998796,frozenset({'salty snack'})
0.08587850030074183,frozenset({'yogurt'})
0.06034886052262247,frozenset({'sausage'})
0.009490075519615051,frozenset({'semi-finished bread'})
0.09710619528169484,frozenset({'soda'})
0.008955423377664907,frozenset({'pickled vegetables'})
0.04691572545612511,frozenset({'canned beer'})
0.01577223818752924,frozenset({'misc. beverages'})
0.013700461137472432,frozenset({'hygiene articles'})
0.11000467820624206,frozenset({'rolls/buns'})
0.043707812604424245,frozenset({'whipped/sour cream'})
0.037759807525228894,frozenset({'frankfurter'})
0.03395041101383412,frozenset({'beef'})
0.023992514870012697,frozenset({'white bread'})
0.03368308494285905,frozenset({'curd'})
0.12210118291786407,frozenset({'other vegetables'})
0.028002405934638777,frozenset({'frozen vegetables'})
0.03522020985096572,frozenset({'butter'})
0.0677671589921807,frozenset({'tropical fruit'})
0.01771035220209851,frozenset({'sugar'})
0.017576689166610975,frozenset({'butter milk'})
0.015972732740760543,frozenset({'specialty chocolate'})
0.016774710953685757,frozenset({'frozen meals'})
0.002205440085544343,frozenset({'dental care'})
0.06957160997126245,frozenset({'root vegetables'})
0.008621265788946068,frozenset({'detergent'})
0.049054334023925686,frozenset({'pip fruit'})
0.004945532313038829,frozenset({'cling film/bags'})
0.004878700795295061,frozenset({'dish cleaner'})
0.02359152576355009,frozenset({'chocolate'})
0.01049254828577157,frozenset({'red/blush wine'})
0.006816814809864332,frozenset({'frozen fish'})
0.04758404063356279,frozenset({'shopping bags'})
0.00848760275345853,frozenset({'packaged fruit/vegetables'})
0.03221279155249616,frozenset({'margarine'})
0.0032747443694446303,frozenset({'rice'})
0.06068301811134131,frozenset({'bottled water'})
0.0027400922274944863,frozenset({'softener'})
0.0013366303548753592,frozenset({'skin care'})
0.04531176903027468,frozenset({'bottled beer'})
0.027868742899151238,frozenset({'chicken'})
0.009757401590590123,frozenset({'flour'})
0.037091492347791216,frozenset({'domestic eggs'})
0.011695515605159393,frozenset({'white wine'})
0.005279689901757669,frozenset({'photo/film'})
0.02359152576355009,frozenset({'dessert'})
0.021853906302212123,frozenset({'hamburger meat'})
0.004477711688832453,frozenset({'liquor (appetizer)'})
0.003341575887188398,frozenset({'liver loaf'})
0.007685624540533315,frozenset({'canned fish'})
0.0010693042839002875,frozenset({'cocoa drinks'})
0.002138608567800575,frozenset({'ketchup'})
0.038895943326872955,frozenset({'newspapers'})
0.010559379803515338,frozenset({'herbs'})
0.03161130789280225,frozenset({'coffee'})
0.021386085678005748,frozenset({'UHT-milk'})
0.014034618726191272,frozenset({'sliced cheese'})
0.002004945532313039,frozenset({'kitchen towels'})
0.013967787208447505,frozenset({'specialty bar'})
0.004410880171088686,frozenset({'candles'})
0.05313105660629553,frozenset({'citrus fruit'})
0.014368776314910112,frozenset({'candy'})
0.0030742498162133263,frozenset({'curd cheese'})
0.01443560783265388,frozenset({'grapes'})
0.03762614448974136,frozenset({'brown bread'})
0.01015839069705273,frozenset({'processed cheese'})
0.02024994987636169,frozenset({'onions'})
0.022121232373187194,frozenset({'napkins'})
0.01470293390362895,frozenset({'hard cheese'})
0.006148499632426653,frozenset({'mustard'})
0.005012363830782597,frozenset({'mayonnaise'})
0.016841542471429525,frozenset({'meat'})
0.005480184454988973,frozenset({'roll products '})
0.0011361358016440553,frozenset({'cookware'})
0.03401724253157789,frozenset({'fruit/vegetable juice'})
0.010024727661565194,frozenset({'soft cheese'})
0.014903428456860256,frozenset({'oil'})
0.005680679008220277,frozenset({'pet care'})
0.016574216400454454,frozenset({'beverages'})
0.021787074784468355,frozenset({'berries'})
0.006148499632426653,frozenset({'cake bar'})
0.017910846755329814,frozenset({'long life bakery product'})
0.0026732607097507185,frozenset({'spices'})
0.0068836463276081,frozenset({'liquor'})
0.008086613646995923,frozenset({'baking powder'})
0.0024727661565194146,frozenset({'male cosmetics'})
0.0019381140145692708,frozenset({'fish'})
0.023658357281293858,frozenset({'cream cheese '})
0.0171088685424046,frozenset({'ham'})
0.005948005079195348,frozenset({'salt'})
0.037091492347791216,frozenset({'pork'})
0.004611374724319989,frozenset({'flower (seeds)'})
0.015170754527835327,frozenset({'ice cream'})
0.007819287576020852,frozenset({'pot plants'})
0.001804450979081735,frozenset({'snack products'})
0.018512330415023724,frozenset({'waffles'})
0.011829178640646929,frozenset({'cat food'})
0.003408407404932166,frozenset({'vinegar'})
0.012029673193878232,frozenset({'chewing gum'})
0.004009891064626078,frozenset({'Instant food products'})
0.008086613646995923,frozenset({'pasta'})
0.0012697988371315912,frozenset({'prosecco'})
0.004009891064626078,frozenset({'chocolate marshmallow'})
0.004544543206576221,frozenset({'sweet spreads'})
0.0065494887388892606,frozenset({'condensed milk'})
0.003007418298469558,frozenset({'house keeping products'})
0.009022254895408675,frozenset({'dishes'})
0.003207912851700862,frozenset({'popcorn'})
0.0026732607097507185,frozenset({'female sanitary products'})
0.004477711688832453,frozenset({'dog food'})
0.0023391031210318785,frozenset({'meat spreads'})
0.006683151774376796,frozenset({'spread cheese'})
0.0029405867807257902,frozenset({'sauces'})
0.002138608567800575,frozenset({'rum'})
0.00427721713560115,frozenset({'finished products'})
0.00394305954688231,frozenset({'instant coffee'})
0.0019381140145692708,frozenset({'artif. sweetener'})
0.0011361358016440553,frozenset({'bathroom cleaner'})
0.0022722716032881106,frozenset({'jam'})
0.0011361358016440553,frozenset({'pudding powder'})
0.0030742498162133263,frozenset({'sparkling wine'})
0.001804450979081735,frozenset({'tea'})
0.0019381140145692708,frozenset({'specialty fat'})
0.0048118692775512934,frozenset({'specialty cheese'})
0.0048118692775512934,frozenset({'frozen potato products'})
0.005346521419501437,frozenset({'turkey'})
0.005480184454988973,frozenset({'canned vegetables'})
0.004009891064626078,frozenset({'zwieback'})
0.0014702933903628951,frozenset({'nut snack'})
0.003207912851700862,frozenset({'soups'})
0.002806923745238254,frozenset({'cereals'})
0.007084140880839404,frozenset({'seasonal products'})
0.0010024727661565194,frozenset({'ready soups'})
0.0025395976742631824,frozenset({'brandy'})
0.0019381140145692708,frozenset({'light bulbs'})
0.0020717770500568067,frozenset({'cleaner'})
0.001403461872619127,frozenset({'syrup'})
0.001403461872619127,frozenset({'canned fruit'})
0.0010024727661565194,frozenset({'cooking chocolate'})
0.0014702933903628951,frozenset({'abrasive cleaner'})
0.006148499632426653,frozenset({'frozen dessert'})
0.0014702933903628951,frozenset({'organic sausage'})
0.0010693042839002875,frozenset({'flower soil/fertilizer'})
0.0014702933903628951,frozenset({'tidbits'})
0.0015371249081066632,frozenset({'potato products'})
0.002205440085544343,frozenset({'nuts/prunes'})
0.0013366303548753592,frozenset({'soap'})
0.006482657221145492,"frozenset({'pastry', 'whole milk'})"
0.0028737552629820224,"frozenset({'pastry', 'root vegetables'})"
0.0036757334759072377,"frozenset({'pastry', 'other vegetables'})"
0.00360890195816347,"frozenset({'pastry', 'yogurt'})"
0.003207912851700862,"frozenset({'pastry', 'sausage'})"
0.002806923745238254,"frozenset({'pastry', 'tropical fruit'})"
0.0040767225823698456,"frozenset({'pastry', 'soda'})"
0.00394305954688231,"frozenset({'pastry', 'rolls/buns'})"
0.0028737552629820224,"frozenset({'bottled water', 'pastry'})"
0.002138608567800575,"frozenset({'pastry', 'citrus fruit'})"
0.0019381140145692708,"frozenset({'salty snack', 'whole milk'})"
